"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","28739","NC","Asheville, NC",7032,118,7.96812749003984,81,2.8,5.64137931034483
"Zip","28805","NC","Asheville, NC",7482,118,12.6315789473684,81,6.8,5.64137931034483
"Zip","28716","NC","Asheville, NC",7954,118,10.8910891089109,83.5,7.6,5.64137931034483
"Zip","28732","NC","Asheville, NC",8043,118,13.6,66,4.4,5.64137931034483
"Zip","28801","NC","Asheville, NC",8269,118,10.2564102564103,81,5.6,5.64137931034483
"Zip","28711","NC","Asheville, NC",8699,118,12.9032258064516,103.5,10,5.64137931034483
"Zip","28791","NC","Asheville, NC",8904,118,10.655737704918,69,3.2,5.64137931034483
"Zip","28748","NC","Asheville, NC",9301,118,7.57575757575758,114,8,5.64137931034483
"Zip","28753","NC","Asheville, NC",9470,118,8.62068965517241,81,4,5.64137931034483
"Zip","28721","NC","Asheville, NC",9639,118,14.4444444444444,91,9.6,5.64137931034483
"Zip","28778","NC","Asheville, NC",9887,118,3.38983050847458,69,0.4,5.64137931034483
"Zip","28731","NC","Asheville, NC",9964,118,5.73770491803279,72,1.6,5.64137931034483
"Zip","28730","NC","Asheville, NC",9989,118,11.1111111111111,112,9.2,5.64137931034483
"Zip","28754","NC","Asheville, NC",10292,118,3.36134453781513,101,3.6,5.64137931034483
"Zip","28785","NC","Asheville, NC",10312,118,9.2436974789916,96,8.4,5.64137931034483
"Zip","28759","NC","Asheville, NC",10613,118,6.25,79.5,2,5.64137931034483
"Zip","28751","NC","Asheville, NC",10775,118,8.2089552238806,94,7.2,5.64137931034483
"Zip","30606","GA","Athens-Clarke County, GA",2776,220,8.73362445414847,72,6,1.88965517241379
"Zip","30605","GA","Athens-Clarke County, GA",3245,220,4.51127819548872,53,1,1.88965517241379
"Zip","30601","GA","Athens-Clarke County, GA",6881,220,12.5,96,10,1.88965517241379
"Zip","30677","GA","Athens-Clarke County, GA",8142,220,7.89473684210526,81.5,4,1.88965517241379
"Zip","30622","GA","Athens-Clarke County, GA",10222,220,9.21052631578947,72,8,1.88965517241379
"Zip","30607","GA","Athens-Clarke County, GA",10236,220,8.62068965517241,67,3,1.88965517241379
"Zip","30633","GA","Athens-Clarke County, GA",10447,220,5.26315789473684,87,5,1.88965517241379
"Zip","30683","GA","Athens-Clarke County, GA",10631,220,2.08333333333333,79,2,1.88965517241379
"Zip","30628","GA","Athens-Clarke County, GA",10777,220,16.0714285714286,67,9,1.88965517241379
"Zip","30621","GA","Athens-Clarke County, GA",11003,220,8.10810810810811,82,7,1.88965517241379
