"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","71461","New Llano","LA","Fort Polk South, LA, LA","Fort Polk South, LA",,0.414177351144526,,,,89500,-0.444938820912125,2.63761467889908,0.0110837988826815,,0.202312138728324,0,
"Zip","71485","Woodworth","LA","Alexandria, LA, LA","Alexandria, LA",,9.05081560045647,,,,238100,0.97540288379983,6.72344240251009,0.0512347753044939,,0.089041095890411,0,84
"Zip","71602","White Hall","AR","Pine Bluff, AR, AR","Pine Bluff, AR",,2.10914949318655,,,,95600,0.737618545837724,13.2701421800948,-0.0559414225941423,,0.199115044247788,0.0333333333333333,
"Zip","71603","Pine Bluff","AR","Pine Bluff, AR, AR","Pine Bluff, AR",,1.7050412834799,,,,79000,0.76530612244898,17.3848439821694,-0.0812911392405063,,0.245779348252847,0.0495207667731629,
"Zip","71639","Dumas","AR",,,,8.77626367725045,100,,,59100,1.02564102564103,25.4777070063694,,,0.269784172661871,0.0133333333333333,
"Zip","71742","Fordyce","AR",,,,8.19292474994965,100,,,54200,1.68855534709193,25.1732101616628,,,0.271356783919598,0.037037037037037,
"Zip","71836","Foreman","AR","Texarkana, TX, TX","Texarkana, TX",,7.23367120896825,,,,88300,1.72811059907834,45.4695222405272,-0.0867497168742922,,0.282608695652174,0,90
"Zip","71854","Texarkana","AR","Texarkana, TX, TX","Texarkana, TX",,3.96724172652212,,,,108000,0.65237651444548,12.8526645768025,-0.110444444444444,,0.130598419269853,0.0201729106628242,90
"Zip","71861","Taylor","AR","Magnolia, AR, AR","Magnolia, AR",,4.08874269987246,100,,,64500,-0.154798761609907,-4.16047548291233,,,0.0909090909090909,0,
"Zip","71901","Hot Springs","AR","Hot Springs, AR, AR","Hot Springs, AR",,1.07202792508559,,,,127800,0.392772977219167,4.15647921760391,0.0384898278560251,,0.112157534246575,0.0343511450381679,84
"Zip","71909","Hot Springs Village","AR","Little Rock, AR, AR","Little Rock, AR",,1.44727126267034,50,0,1.07,180100,0.111172873818788,2.97312750142939,0.0117767906718489,,0.0926883308714919,0.0119521912350598,92
"Zip","71913","Hot Springs","AR","Hot Springs, AR, AR","Hot Springs, AR",,1.00020138282876,,,,147600,-0.0677048070412999,0.750853242320819,0.0441937669376693,,0.108306562643414,0.038135593220339,112
"Zip","71953","Mena","AR",,,,0.23830301402967,,,,96000,0.104275286757039,3.67170626349892,0.00316666666666676,,0.172034564021995,0.0182648401826484,
"Zip","71964","Pearcy","AR","Hot Springs, AR, AR","Hot Springs, AR",,8.56951063972612,,,,150400,1.48448043184885,7.35189150606709,0.0515757978723403,,0.104477611940299,0,99
"Zip","71968","Royal","AR","Hot Springs, AR, AR","Hot Springs, AR",,3.07981472779754,,,,167400,0.540540540540541,8.84265279583875,0.0123536439665473,,0.121212121212121,0.025,99
